enemy_id,name,model_id,growth_id,hp,atk,drop_id,enemy_type,exp_amount,irritate
10100013,ザコおじい,10100013,101,20,0,0,0,1,1000
10100014,ジクザグおばけ,10100014,101,22,0,0,0,10,1200
10100015,上下玉投げ,10100015,101,40,0,0,0,1,1500
10100011,目玉おばけ,10100011,101,21,0,0,0,1,1100
40100011,ボス,40100011,101,1000,0,0,2,0,5000
10100021,小ロボット,10100021,101,60,0,0,1,0,5000
10100031,未使用,10100022,101,60,0,0,1,0,1000
10100041,未使用,10100031,101,100,0,0,1,0,1000
10100051,未使用,10100032,101,100,0,0,1,0,1000
30100011,デカロボ,30100011,101,200,0,0,1,0,5000
